Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Area Elective modules Elementary particle physics,,,Faculty of Science,,,Elementary Particle Physics
Area Compulsory modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Astro(particle) physics and Cosmology
Area Core elective modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Astro(particle) physics and Cosmology
Area Elective modules Theoretical Astrophysics and Cosmology,,,Faculty of Science,,,Astro(particle) physics and Cosmology
Area Compulsory modules Biostatistics,,,Faculty of Science,,,Biostatistics (specialized Master);Biostatistics (specialized Master)
Area Core elective modules Biostatistics,,,Faculty of Science,,,Biostatistics (specialized Master);Biostatistics (specialized Master)
Area Further Courses Biostatistics,,,Faculty of Science,,,Biostatistics (specialized Master);Biostatistics (specialized Master)
Area Compulsory modules Chemical and Molecular Sciences,,,Faculty of Science,,,Chemical and Molecular Sciences (specialized Master);Chemical and Molecular Sciences (specialized Master)
Area Core electives modules Chemical and Molecular Sciences,,,Faculty of Science,,,Chemical and Molecular Sciences (specialized Master);Chemical and Molecular Sciences (specialized Master)
"Area Suggestions for elective modules, Chemical and Molecular Sciences",,,Faculty of Science,,,Chemical and Molecular Sciences (specialized Master);Chemical and Molecular Sciences (specialized Master)
Area Compulsory modules Condesed matter physics,,,Faculty of Science,,,Condensed Matter Physics
Area Core elective modules Condensed matter physics,,,Faculty of Science,,,Condensed Matter Physics
Area Elective modules Condesed matter physics,,,Faculty of Science,,,Condensed Matter Physics
Partial Subject Elementary Particle Physics,,,Faculty of Science,,,Physics;Physics (Fast Track);Physics;Physics (Fast Track)
Doctoral Program RNA Biology,English,,Faculty of Science,Frédéric Allain,Isabelle Allen,Doctorate Faculty of Science
Minor 30 Bioinformatics,English,,Faculty of Science,Andreas Wagner,,Master of Science Faculty of Science (120) (2021)
Area Special lectures Chemistry,,,Faculty of Science,,,Chemistry;Chemistry
Minor 30 Physics,English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (120) (2021)
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Science Faculty of Science (120) (2021)
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Master of Science Faculty of Science (120) (2021)
Minor 30 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
Minor 30 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Master of Science Faculty of Science (120) (2021)
Minor 30 Geography,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Master of Science Faculty of Science (120) (2021)
Minor 30 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Master of Science Faculty of Science (120) (2021)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Master of Science Faculty of Science (120) (2021)
Minor 30 Applied Probability and Statistics,"German, English",,Faculty of Science,Reinhard Furrer,,Master of Science Faculty of Science (120) (2021)
Minor 30 Astronomy and Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Master of Science Faculty of Science (120) (2021)
Minor 30 Crystallography,"German, English",,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Master of Science Faculty of Science (120) (2021)
"Partial Subject Compulsory modules, Biochemistry, group 1",,,Faculty of Science,,,Biochemistry;Biochemistry;Biochemistry;Biochemistry;Biochemistry;Biochemistry
"Partial Subject Core elective modules, Biochemistry, group 1",,,Faculty of Science,,,Biochemistry;Biochemistry;Biochemistry;Biochemistry;Biochemistry;Biochemistry
"Partial Subject Compulsory modules, Biochemistry, group 2",,,Faculty of Science,,,Biochemistry;Biochemistry;Biochemistry;Biochemistry
"Partial Subject Core elective modules, Biochemistry, group 2",,,Faculty of Science,,,Biochemistry;Biochemistry;Biochemistry;Biochemistry
"Partial Subject Additional modules for Master level, Biochemistry",,,Faculty of Science,,,Biochemistry;Biochemistry
"Partial Subject Compulsory modules, Biology 60 and 30",,,Faculty of Science,,,Biology;Biology;Biology;Biology;Biology;Biology
"Partial Subject Core elective modules, Biology 60 and 30",,,Faculty of Science,,,Biology;Biology;Biology;Biology;Biology;Biology
"Partial Subject Compulsory modules, Chemistry 30",,,Faculty of Science,,,Chemistry;Chemistry;Chemistry;Chemistry
"Partial Subject Core elective modules practical courses, Chemistry 30",,,Faculty of Science,,,Chemistry;Chemistry;Chemistry;Chemistry
"Partial Subject Core elective modules lectures, Chemistry 30",,,Faculty of Science,,,Chemistry;Chemistry;Chemistry;Chemistry
"Partial Subject Compulsory modules, Earth System Science 30",,,Faculty of Science,,,Earth System Science;Earth System Science;Earth System Science
"Partial Subject Core elective modules, Earth System Science 30",,,Faculty of Science,,,Earth System Science;Earth System Science;Earth System Science;Earth System Science
"Partial Subject Elective modules, Earth System Science 30",,,Faculty of Science,,,Earth System Science;Earth System Science;Earth System Science;Earth System Science
"Partial Subject Compulsory modules, Geography 30-1",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Compulsory modules, Geography 30-2",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Compulsory modules, Geography 30-3",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Core elective modules, Geography 30-1",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Core elective modules, Geography 30-2",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Core elective modules, Geography 30-3",,,Faculty of Science,,,Geography;Geography;Geography;Geography
"Partial Subject Elective modules, Geography 30",,,Faculty of Science,,,Geography;Geography;Geography;Geography
Partial Subject Mathematics 30 for students with a major in Physics,,,Faculty of Science,,,Mathematics;Mathematics
Partial Subject Mathematics 30 for students not with a major in Physics,,,Faculty of Science,,,Mathematics
Partial Subject Physics 30,,,Faculty of Science,,,Physics;Physics
"Area Compulsory modules, Biomedicine 30 for students with a major study program in Biology",,,Faculty of Science,,,Biomedicine
"Area Compulsory modules, Biomedicine 30 for students with a major study program in Chemistry",,,Faculty of Science,,,Biomedicine
"Area Compulsory modules, Bioinformatics 30",,,Faculty of Science,,,Bioinformatics;Bioinformatics;Bioinformatics;Bioinformatics
"Area Core elective modules, Bioinformatics 30",,,Faculty of Science,,,Bioinformatics;Bioinformatics;Bioinformatics;Bioinformatics
"Area Elective modules, Bioinformatics 30",,,Faculty of Science,,,Bioinformatics;Bioinformatics;Bioinformatics;Bioinformatics
"Area Compulsory modules, Neuroinformatics 30",,,Faculty of Science,,,Neuroinformatics;Neuroinformatics;Neuroinformatics;Neuroinformatics
"Area Core elective modules, Neuroinformatics 30",,,Faculty of Science,,,Neuroinformatics;Neuroinformatics;Neuroinformatics;Neuroinformatics
"Area Elective modules, Neuroinformatics 30",,,Faculty of Science,,,Neuroinformatics;Neuroinformatics;Neuroinformatics;Neuroinformatics
"Area Compulsory modules, Applied Probability and Statistics 30",,,Faculty of Science,,,Applied Probability and Statistics;Applied Probability and Statistics;Applied Probability and Statistics
"Area Elective modules, Applied Probability and Statistics 30",,,Faculty of Science,,,Applied Probability and Statistics;Applied Probability and Statistics;Applied Probability and Statistics
"Area Compulsory modules, Astronomy and Astrobiology",,,Faculty of Science,,,Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy und Astrobiology
"Area Elective modules, Astronomy and Astrobiology",,,Faculty of Science,,,Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy and Astrobiology;Astronomy und Astrobiology
"Area Compulsory modules, Crystallography 30",,,Faculty of Science,,,Crystallography;Crystallography;Crystallography
"Area Core elective modules, Crystallography 30",,,Faculty of Science,,,Crystallography;Crystallography;Crystallography
"Area Suggestions for elective modules, Crystallography 30",,,Faculty of Science,,,Crystallography;Crystallography;Crystallography
Minor 30 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020
Minor 30 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (PVO08)
Minor 30 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (PVO08)
Minor 30 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020
Minor 30 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (PVO08)
Minor 30 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Sandra Jana Müller,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (PVO08)
Minor 30 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science UZH in Informatics (RVO22);Master of Science UZH in Informatics (RVO16);Master of Science UZH in Informatics (PVO08)
Minor 30 Neuroinformatics,"German, English",,Faculty of Science,Richard Hahnloser,Daniel Ch. Kiper,Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020
"Partial Area Compulsory modules, Biomedicine 60 for students with a major study program in Biology",,,Faculty of Science,,,Biomedicine
"Partial Area Compulsory modules, Biomedicine 60 for students with a major study program in Chemistry",,,Faculty of Science,,,Biomedicine
Area Modules Medical Biology,,,Faculty of Science,,,Medical Biology (specialized Master)
Single Major 180 Biochemistry,"German, English",,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Bachelor of Science Faculty of Science (2021)
Single Major 180 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Single Major 180 Biomedicine,"German, English",,Faculty of Science,Lubor Borsig,Sabine Jacob Sempach,Bachelor of Science Faculty of Science (2021)
Single Major 180 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Single Major 180 Earth System Science,"German, English",,Faculty of Science,Norman Backhaus,Philippe Meuret,Bachelor of Science Faculty of Science (2021)
Single Major 180 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Science Faculty of Science (2021)
Single Major 180 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Major 150 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Major 150 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Major 150 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger Jung,Bachelor of Science Faculty of Science (2021)
Major 150 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Bachelor of Science Faculty of Science (2021)
Major 150 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Major 120 Chemistry,"German, English",,Faculty of Science,Eva Freisinger Sigel,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Major 120 Biology,"German, English",,Faculty of Science,Konrad Basler,Karin Isler,Bachelor of Science Faculty of Science (2021)
Area 2nd year of studies: lower-level study Chemistry 150,,,Faculty of Science,,,Chemistry
Area 3rd year of studies: specialized study Chemistry 150,,,Faculty of Science,,,Chemistry
"Partial Area Compulsory modules, 2nd year of studies Chemistry 150",,,Faculty of Science,,,2nd year of studies: lower-level study Chemistry 150
"Partial Area Compulsory modules, 3rd year of studies Chemistry 150",,,Faculty of Science,,,3rd year of studies: specialized study Chemistry 150
"Partial Area Core elective modules practical courses, 3rd year of studies Chemistry 150",,,Faculty of Science,,,3rd year of studies: specialized study Chemistry 150
"Partial Area Core elective modules lectures, 3rd year of studies Chemistry 150",,,Faculty of Science,,,3rd year of studies: specialized study Chemistry 150
Single Major 180 Physics,"German, English",,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Bachelor of Science Faculty of Science (2021)
Single Major 180 Chemistry and Business Studies,"German, English",,Faculty of Science,Stefan Seeger,Sabine Stockhause,Bachelor of Science Faculty of Science (2021)
Concentration Chemical Track,"German, English",,Faculty of Science,,,Biochemistry
Concentration Biomolecular Track,"German, English",,Faculty of Science,,,Biochemistry
Area 1st year of studies: lower-level study Chemistry/Biochemistry,,,Faculty of Science,,,Chemistry;Chemistry;Chemistry;Chemical Track
Area 2nd year of studies: lower-level study Chemistry/Biochemistry,,,Faculty of Science,,,Chemistry;Chemical Track
Area 1st year of studies: lower-level study Biochemistry,,,Faculty of Science,,,Biomolecular Track
Area 2nd year of studies: lower-level study Biochemistry,,,Faculty of Science,,,Biomolecular Track
